date,product_category,units_sold,revenue
2023-01-01,Electronics,4,620.16
2023-01-01,Electronics,6,1440.7
2023-01-02,Groceries,4,344.34
2023-01-03,Home Goods,5,910.36
2023-01-03,Groceries,11,530.59
2023-01-04,Electronics,7,2146.01
2023-01-05,Books,7,51.88
2023-01-06,Groceries,4,202.06
2023-01-06,Groceries,5,451.04
2023-01-07,Groceries,11,541.91
2023-01-08,Groceries,5,250.0
2023-01-09,Electronics,8,1243.27
2023-01-09,Groceries,7,515.67
2023-01-10,Groceries,5,25.0
2023-01-11,Apparel,7,289.84
2023-01-11,Apparel,4,418.92
2023-01-12,Apparel,5,341.77
2023-01-13,Apparel,6,1005.91
2023-01-14,Groceries,6,379.6
2023-01-14,Groceries,7,289.14
2023-01-15,Groceries,11,681.32
2023-01-16,Home Goods,7,1488.81
2023-01-17,Groceries,6,258.73
2023-01-17,Groceries,6,561.01
2023-01-18,Apparel,7,359.94
2023-01-19,Apparel,6,704.3
2023-01-19,Home Goods,7,691.15
2023-01-20,Apparel,10,885.18
2023-01-21,Groceries,7,376.51
2023-01-22,Groceries,6,283.41
2023-01-22,Groceries,4,92.1
2023-01-23,Home Goods,12,533.41
2023-01-24,Electronics,4,525.78
2023-01-25,Books,3,43.38
2023-01-25,Electronics,11,6270.97
2023-01-26,Groceries,8,351.06
2023-01-27,Apparel,8,565.41
2023-01-28,Groceries,1,32.17
2023-01-28,Apparel,3,167.15
2023-01-29,Groceries,5,359.16
2023-01-30,Apparel,3,204.5
2023-01-30,Groceries,5,427.89
2023-01-31,Apparel,5,606.27
2023-02-01,Groceries,3,275.42
2023-02-02,Groceries,7,432.86
2023-02-02,Groceries,7,225.34
2023-02-03,Electronics,5,1113.97
2023-02-04,Home Goods,7,517.8
2023-02-05,Groceries,7,519.93
2023-02-05,Apparel,13,1012.79
2023-02-06,Apparel,8,448.61
2023-02-07,Electronics,3,575.42
2023-02-07,Groceries,4,108.82
2023-02-08,Apparel,7,803.53
2023-02-09,Home Goods,6,941.72
2023-02-10,Electronics,6,209.53
2023-02-10,Books,5,38.38
2023-02-11,Groceries,5,383.93
2023-02-12,Groceries,8,376.42
2023-02-13,Groceries,3,148.21
2023-02-13,Books,3,88.33
2023-02-14,Groceries,7,571.9
2023-02-15,Groceries,9,585.17
2023-02-16,Apparel,3,149.52
2023-02-16,Groceries,4,308.39
2023-02-17,Electronics,3,2081.91
2023-02-18,Electronics,9,3191.12
2023-02-18,Groceries,8,408.93
2023-02-19,Home Goods,8,628.0
2023-02-20,Electronics,6,1644.19
2023-02-21,Home Goods,3,404.94
2023-02-21,Groceries,6,271.52
2023-02-22,Groceries,4,159.58
2023-02-23,Electronics,8,1573.3
2023-02-24,Home Goods,7,1325.41
2023-02-24,Groceries,4,231.89
2023-02-25,Groceries,5,389.49
2023-02-26,Books,6,211.68
2023-02-26,Groceries,5,360.69
2023-02-27,Books,11,273.04
2023-02-28,Home Goods,4,555.46
2023-03-01,Groceries,4,163.64
2023-03-01,Apparel,6,622.55
2023-03-02,Electronics,6,1395.76
2023-03-03,Books,9,295.34
2023-03-04,Electronics,8,1198.31
2023-03-04,Apparel,11,1128.07
2023-03-05,Apparel,4,497.52
2023-03-06,Groceries,2,29.39
2023-03-07,Home Goods,7,648.8
2023-03-07,Apparel,5,222.22
2023-03-08,Electronics,6,1584.43
2023-03-09,Groceries,7,545.83
2023-03-09,Books,8,157.06
2023-03-10,Groceries,6,234.58
2023-03-11,Groceries,2,128.8
2023-03-12,Groceries,5,145.4
2023-03-12,Groceries,8,689.22
2023-03-13,Electronics,11,781.07
2023-03-14,Apparel,6,733.58
2023-03-15,Apparel,8,799.27
2023-03-15,Books,5,25.0
2023-03-16,Books,8,215.12
2023-03-17,Groceries,4,114.03
2023-03-17,Electronics,7,1012.27
2023-03-18,Electronics,6,745.45
2023-03-19,Groceries,5,298.81
2023-03-20,Groceries,6,229.29
2023-03-20,Electronics,7,1046.15
2023-03-21,Home Goods,9,202.78
2023-03-22,Groceries,6,311.17
2023-03-23,Apparel,4,190.26
2023-03-23,Electronics,6,1948.09
2023-03-24,Groceries,2,97.06
2023-03-25,Home Goods,9,895.04
2023-03-26,Apparel,7,654.25
2023-03-26,Apparel,4,360.88
2023-03-27,Home Goods,8,1260.83
2023-03-28,Home Goods,6,1366.64
2023-03-28,Apparel,9,1025.79
2023-03-29,Electronics,8,1979.86
2023-03-30,Electronics,6,641.84
2023-03-31,Electronics,8,2285.8
2023-03-31,Apparel,2,143.14
2023-04-01,Apparel,7,590.28
2023-04-02,Groceries,4,233.05
2023-04-03,Home Goods,5,270.3
2023-04-03,Electronics,5,2179.74
2023-04-04,Groceries,6,193.32
2023-04-05,Electronics,6,1678.23
2023-04-05,Home Goods,3,370.45
2023-04-06,Groceries,6,298.69
2023-04-07,Books,3,69.74
2023-04-08,Home Goods,8,40.0
2023-04-08,Groceries,7,373.38
2023-04-09,Home Goods,6,828.43
2023-04-10,Apparel,5,580.64
2023-04-11,Groceries,6,283.33
2023-04-11,Groceries,5,257.22
2023-04-12,Apparel,5,569.85
2023-04-13,Home Goods,6,996.51
2023-04-14,Groceries,4,93.69
2023-04-14,Groceries,6,143.07
2023-04-15,Groceries,8,371.5
2023-04-16,Books,8,85.47
2023-04-16,Groceries,6,368.27
2023-04-17,Groceries,8,216.38
2023-04-18,Books,4,81.88
2023-04-19,Groceries,8,670.17
2023-04-19,Home Goods,5,454.28
2023-04-20,Groceries,3,66.8
2023-04-21,Groceries,5,261.62
2023-04-22,Apparel,6,325.05
2023-04-22,Apparel,5,270.97
2023-04-23,Electronics,6,2027.93
2023-04-24,Groceries,9,45.0
2023-04-24,Home Goods,6,799.76
2023-04-25,Home Goods,4,149.27
2023-04-26,Books,10,50.0
2023-04-27,Groceries,6,50.62
2023-04-27,Electronics,2,630.78
2023-04-28,Groceries,6,259.36
2023-04-29,Groceries,2,48.8
2023-04-30,Groceries,8,130.4
2023-04-30,Electronics,12,5840.61
2023-05-01,Home Goods,6,1013.13
2023-05-02,Groceries,5,283.66
2023-05-03,Books,8,113.82
2023-05-03,Groceries,7,354.97
2023-05-04,Books,4,95.27
2023-05-05,Apparel,5,378.95
2023-05-05,Electronics,5,2477.65
2023-05-06,Home Goods,9,1499.37
2023-05-07,Apparel,13,970.74
2023-05-08,Groceries,7,508.52
2023-05-08,Electronics,2,158.74
2023-05-09,Books,5,144.44
2023-05-10,Groceries,7,422.11
2023-05-11,Groceries,3,48.4
2023-05-11,Electronics,5,463.24
2023-05-12,Apparel,8,140.32
2023-05-13,Apparel,7,512.0
2023-05-13,Books,6,158.82
2023-05-14,Groceries,7,311.49
2023-05-15,Electronics,7,2355.85
2023-05-16,Groceries,5,202.76
2023-05-16,Electronics,7,1788.93
2023-05-17,Groceries,9,409.95
2023-05-18,Groceries,11,693.1
2023-05-19,Groceries,7,52.5
2023-05-19,Groceries,4,123.64
2023-05-20,Apparel,3,423.82
2023-05-21,Groceries,6,507.14
2023-05-22,Electronics,3,644.31
2023-05-22,Apparel,6,699.84
